x,y,"FC1,2","FC2,1","FC2,2","FC2,3","FC3,2"
1.5,-2,2.73802,-3.60442,13.39526,-4.90400,3.70845
1.5,-1.5,2.84199,-3.67373,13.58587,-5.00797,3.56982
1.5,-1,2.92864,-3.70839,13.74183,-5.12927,3.43119
1.5,-0.5,3.06727,-3.74305,13.82848,-5.18126,3.29255
1.5,0,3.17125,-3.74305,13.84581,-5.18126,3.17125
1.5,0.5,3.29255,-3.74305,13.82848,-5.18126,3.04994
1.5,1,3.43119,-3.70839,13.72450,-5.11194,2.94597
1.5,1.5,3.56982,-3.65640,13.58587,-5.02530,2.84199
1.5,2,3.70845,-3.60442,13.41258,-4.90400,2.73802
1.5,2.5,3.84709,-3.53510,13.15265,-4.74804,2.65137
1.5,3,4.02038,-3.44846,12.87539,-4.55743,2.54740
1.5,3.5,4.17634,-3.34448,12.54614,-4.34948,2.46075
1.5,4,4.38429,-3.22318,12.18223,-4.12421,2.39143
1.5,4.5,4.57491,-3.10188,11.81832,-3.89894,2.30479
1.5,5,4.76554,-2.98057,11.43709,-3.67367,2.21814
2,-5,2.21814,-2.85927,11.41976,-3.76031,4.73088
2,-4.5,2.30479,-2.98057,11.81832,-4.02024,4.52293
2,-4,2.37410,-3.06722,12.18223,-4.26284,4.34963
2,-3.5,2.44342,-3.18852,12.56347,-4.52277,4.15901
2,-3,2.53007,-3.27517,12.91005,-4.76537,4.00305
2,-2.5,2.63404,-3.36181,13.20464,-4.93866,3.82976
2,-2,2.72069,-3.43113,13.44724,-5.12927,3.67379
2,-1.5,2.80733,-3.48311,13.67252,-5.26790,3.53516
2,-1,2.92864,-3.53510,13.82848,-5.38920,3.39653
2,-0.5,3.03261,-3.55243,13.89779,-5.44119,3.25789
2,0,3.15392,-3.56976,13.93245,-5.44119,3.15392
2,0.5,3.27522,-3.55243,13.91512,-5.44119,3.03261
2,1,3.39653,-3.51777,13.79382,-5.35454,2.91131
2,1.5,3.53516,-3.48311,13.65519,-5.26790,2.82466
